"Authors","Author full names","Author(s) ID","Title","Year","Source title","Cited by","Link","Affiliations","Authors with affiliations","Author Keywords","Index Keywords","Funding Details","Sponsors","Conference name","Conference date","Conference location","Conference code"
"Adams J.; Jones G.D.; Sadler E.; Guerra S.; Sobolev B.; Sackley C.; Sheehan K.J.","Adams, Jodie (58626331400); Jones, Gareth D (55715908700); Sadler, Euan (57223805578); Guerra, Stefanny (57738360500); Sobolev, Boris (7005972744); Sackley, Catherine (6602595266); Sheehan, Katie J (55696598300)","58626331400; 55715908700; 57223805578; 57738360500; 7005972744; 6602595266; 55696598300","Physiotherapists' perspectives of barriers and facilitators to effective community provision after hip fracture: a qualitative study in England","2023","Age and Ageing","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172804912&doi=10.1093%2fageing%2fafad130&partnerID=40&md5=29a2dc8dfa6e1217e78412df8ed1fb3a","Department of Population Health Sciences, School of Life Course and Population Sciences, Kings College London, London, United Kingdom; Department of Physiotherapy, Guys and St Thomas's Nhs Foundation Trust, London, United Kingdom; Centre for Human and Applied Physiological Sciences (CHAPS), School of Basic and Medical Biosciences, Kings College London, London, United Kingdom; Faculty of Environmental and Life Sciences, School of Health Sciences, University of Southampton, Southampton, United Kingdom; School of Population and Public Health, University of British Columbia, Vancouver, BC, Canada; Faculty of Medicine and Health Sciences, University of Nottingham, Nottingham, United Kingdom","Adams J., Department of Population Health Sciences, School of Life Course and Population Sciences, Kings College London, London, United Kingdom, Department of Physiotherapy, Guys and St Thomas's Nhs Foundation Trust, London, United Kingdom; Jones G.D., Department of Physiotherapy, Guys and St Thomas's Nhs Foundation Trust, London, United Kingdom, Centre for Human and Applied Physiological Sciences (CHAPS), School of Basic and Medical Biosciences, Kings College London, London, United Kingdom; Sadler E., Faculty of Environmental and Life Sciences, School of Health Sciences, University of Southampton, Southampton, United Kingdom; Guerra S., Department of Population Health Sciences, School of Life Course and Population Sciences, Kings College London, London, United Kingdom; Sobolev B., School of Population and Public Health, University of British Columbia, Vancouver, BC, Canada; Sackley C., Department of Population Health Sciences, School of Life Course and Population Sciences, Kings College London, London, United Kingdom, Faculty of Medicine and Health Sciences, University of Nottingham, Nottingham, United Kingdom; Sheehan K.J., Department of Population Health Sciences, School of Life Course and Population Sciences, Kings College London, London, United Kingdom","allied health professional; femoral neck fractures; older people; process mapping; qualitative research; stratified care","England; Hip Fractures; Humans; London; Physical Therapists; Qualitative Research; adult; apprenticeship; Article; avoidance behavior; community; data analysis; England; fear; female; health care system; hip fracture; human; human experiment; information processing; interdisciplinary communication; male; occupational therapist; physiotherapist; physiotherapy; psychologist; purposive sample; qualitative research; semi structured interview; snowball sample; social media; thematic analysis; England; hip fracture","Private Physiotherapy Educational Foundation, (PRF-PPEF-21-PRE01); UK Research & Innovation Future Leaders Fellowship; Chartered Society of Physiotherapy Charitable Trust, CSPCT; Australian Research Council, ARC; National Health Research Institutes, NHRI; National Institute for Health Research Applied Research Collaboration West","","","","",""
"Stahl Olafsson A.; Purves R.S.; Wartmann F.M.; Garcia-Martin M.; Fagerholm N.; Torralba M.; Albert C.; Verbrugge L.N.H.; Heikinheimo V.; Plieninger T.; Bieling C.; Kaaronen R.; Hartmann M.; Raymond C.M.","Stahl Olafsson, Anton (16043030700); Purves, Ross S. (7005111709); Wartmann, Flurina M. (35331414700); Garcia-Martin, Maria (57190339505); Fagerholm, Nora (35182832700); Torralba, Mario (56998464000); Albert, Christian (23102173800); Verbrugge, Laura N.H. (55216634200); Heikinheimo, Vuokko (56668748800); Plieninger, Tobias (6603486401); Bieling, Claudia (7801357267); Kaaronen, Roope (57196479746); Hartmann, Maximilian (57407826500); Raymond, Christopher M. (15027590900)","16043030700; 7005111709; 35331414700; 57190339505; 35182832700; 56998464000; 23102173800; 55216634200; 56668748800; 6603486401; 7801357267; 57196479746; 57407826500; 15027590900","Comparing landscape value patterns between participatory mapping and geolocated social media content across Europe","2022","Landscape and Urban Planning","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133909626&doi=10.1016%2fj.landurbplan.2022.104511&partnerID=40&md5=ef535d43e687cc57c2330062adec061e","University of Copenhagen, Department of Geosciences and Natural Resource Management, Rolighedsvej 23, Frederiksberg C, 1958, Denmark; University of Zurich, Department of Geography, Switzerland; University of Aberdeen, Geography and Environment, Scotland, United Kingdom; Swiss Federal Research Institute WSL, Switzerland; University of Turku, Department of Geography and Geology, Finland; University of Kassel, Faculty of Organic Agricultural Sciences, Germany; Ruhr University Bochum, Institute of Geography, Germany; Aalto University, School of Engineering, Water and Development Research Group, Finland; University of Helsinki, Helsinki Institute for Sustainability Science (HELSUS), Finland; Finnish Environment Institute SYKE, Finland; University of Helsinki, Department of Geosciences and Geography, Digital Geography Lab, Finland; University of Göttingen, Department of Agricultural Economics and Rural Development, Germany; University of Hohenheim, Department Societal Transition and Agriculture (430b), Germany; University of Helsinki, Faculty of Biological and Environmental Sciences, Ecosystems and Environment Research Program, Finland; University of Helsinki, Faculty of Agriculture and Forestry, Department of Economics and Management, Finland","Stahl Olafsson A., University of Copenhagen, Department of Geosciences and Natural Resource Management, Rolighedsvej 23, Frederiksberg C, 1958, Denmark; Purves R.S., University of Zurich, Department of Geography, Switzerland; Wartmann F.M., University of Aberdeen, Geography and Environment, Scotland, United Kingdom; Garcia-Martin M., Swiss Federal Research Institute WSL, Switzerland; Fagerholm N., University of Turku, Department of Geography and Geology, Finland; Torralba M., University of Kassel, Faculty of Organic Agricultural Sciences, Germany; Albert C., Ruhr University Bochum, Institute of Geography, Germany; Verbrugge L.N.H., Aalto University, School of Engineering, Water and Development Research Group, Finland, University of Helsinki, Helsinki Institute for Sustainability Science (HELSUS), Finland; Heikinheimo V., Finnish Environment Institute SYKE, Finland, University of Helsinki, Department of Geosciences and Geography, Digital Geography Lab, Finland; Plieninger T., University of Kassel, Faculty of Organic Agricultural Sciences, Germany, University of Göttingen, Department of Agricultural Economics and Rural Development, Germany; Bieling C., University of Hohenheim, Department Societal Transition and Agriculture (430b), Germany; Kaaronen R., University of Helsinki, Helsinki Institute for Sustainability Science (HELSUS), Finland, University of Helsinki, Faculty of Biological and Environmental Sciences, Ecosystems and Environment Research Program, Finland; Hartmann M., University of Zurich, Department of Geography, Switzerland; Raymond C.M., University of Helsinki, Helsinki Institute for Sustainability Science (HELSUS), Finland, University of Helsinki, Faculty of Biological and Environmental Sciences, Ecosystems and Environment Research Program, Finland, University of Helsinki, Faculty of Agriculture and Forestry, Department of Economics and Management, Finland","","Europe; comparative study; landscape planning; mapping method; participatory approach; social media","Seventh Framework Programme, FP7, (603447, 613520); Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung, SNF, (186389, EVA-VGI 2); Academy of Finland, AKA, (321555); Seventh Framework Programme, FP7","","","","",""
"Zavala Guillen A.L.","Zavala Guillen, Ana Laura (57809845100)","57809845100","Feeling/thinking the archive: Participatory mapping Marronage","2023","Area","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153609325&doi=10.1111%2farea.12869&partnerID=40&md5=b487391bde1b8d202afe4b25a2c5ea64","Queen Mary University of London, London, United Kingdom","Zavala Guillen A.L., Queen Mary University of London, London, United Kingdom","archive; Colombia; decolonial methods; marronage; oral history; participatory mapping","Colombia; Latin America; colonial legacy; cultural heritage; decolonization; historical perspective; participatory approach; slavery; social movement; territorial management","","","","","",""
"Haris E.; Cohn A.G.; Stell J.G.","Haris, Erum (58770969100); Cohn, Anthony G. (57225810681); Stell, John G. (7003694435)","58770969100; 57225810681; 7003694435","Understanding the Spatial Complexity in Landscape Narratives Through Qualitative Representation of Space","2023","Leibniz International Proceedings in Informatics, LIPIcs","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172322552&doi=10.4230%2fLIPIcs.GIScience.2023.37&partnerID=40&md5=683f7d673c529cab9ad684bb93e9cf81","School of Computing, University of Leeds, United Kingdom; The Alan Turing Institute, London, United Kingdom","Haris E., School of Computing, University of Leeds, United Kingdom; Cohn A.G., School of Computing, University of Leeds, United Kingdom, The Alan Turing Institute, London, United Kingdom; Stell J.G., School of Computing, University of Leeds, United Kingdom","Narratives; Natural language processing; Qualitative spatial representation","Language processing; Narrative; Natural language processing; Natural languages; Qualitative representation; Qualitative spatial representations; Sense of place; Sources of informations; Spatial complexity; Text analysis; Natural language processing systems","Economic and Social Research Council, ESRC, (ES/W003473/1)","","12th International Conference on Geographic Information Science, GIScience 2023","12 September 2023 through 15 September 2023","Leeds","192257"
"Xu B.J.; Wu Y.; Hao P.; Vermeulen M.; McGeachy A.; Smith K.; Eremin K.; Rayner G.; Verri G.; Willomitzer F.; Alfeld M.; Tumblin J.; Katsaggelos A.; Walton M.","Xu, Bingjie Jenny (57211093876); Wu, Yunan (57219466485); Hao, Pengxiao (57192212163); Vermeulen, Marc (56392548100); McGeachy, Alicia (56362552000); Smith, Kate (57190755561); Eremin, Katherine (9839804200); Rayner, Georgina (57203917891); Verri, Giovanni (6602978850); Willomitzer, Florian (55789365900); Alfeld, Matthias (36558897200); Tumblin, Jack (8556467500); Katsaggelos, Aggelos (7102711302); Walton, Marc (26421422200)","57211093876; 57219466485; 57192212163; 56392548100; 56362552000; 57190755561; 9839804200; 57203917891; 6602978850; 55789365900; 36558897200; 8556467500; 7102711302; 26421422200","Can deep learning assist automatic identification of layered pigments from XRF data?","2022","Journal of Analytical Atomic Spectrometry","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142414767&doi=10.1039%2fd2ja00246a&partnerID=40&md5=5e999ed00a5d228e8954723257f388f9","Northwestern University, 2145 Sheridan Road, Evanston, IL, United States; Shanghai University, 333 Nanchen Rd, Shanghai, China; The National Archives, Bessant Dr, Richmond, TW9 4DU, United Kingdom; The Metropolitan Museum of Art, 1000 5th Ave, New York, NY, United States; Harvard Art Museums, Straus Center for Conservation and Technical Studies, 32 Quincy St, Cambridge, MA, United States; Art Institute of Chicago, 111 S Michigan Ave, Chicago, IL, United States; University of Arizona, 1630 E University Blvd, Tucson, AZ, United States; Delft University of Technology, Delft, 2628 CN, Netherlands; M+, 38 Museum Drive, West Kowloon Cultural District, Hong Kong, Hong Kong","Xu B.J., Northwestern University, 2145 Sheridan Road, Evanston, IL, United States; Wu Y., Northwestern University, 2145 Sheridan Road, Evanston, IL, United States; Hao P., Northwestern University, 2145 Sheridan Road, Evanston, IL, United States, Shanghai University, 333 Nanchen Rd, Shanghai, China; Vermeulen M., Northwestern University, 2145 Sheridan Road, Evanston, IL, United States, The National Archives, Bessant Dr, Richmond, TW9 4DU, United Kingdom; McGeachy A., Northwestern University, 2145 Sheridan Road, Evanston, IL, United States, The Metropolitan Museum of Art, 1000 5th Ave, New York, NY, United States; Smith K., Harvard Art Museums, Straus Center for Conservation and Technical Studies, 32 Quincy St, Cambridge, MA, United States; Eremin K., Harvard Art Museums, Straus Center for Conservation and Technical Studies, 32 Quincy St, Cambridge, MA, United States; Rayner G., Harvard Art Museums, Straus Center for Conservation and Technical Studies, 32 Quincy St, Cambridge, MA, United States; Verri G., Art Institute of Chicago, 111 S Michigan Ave, Chicago, IL, United States; Willomitzer F., Northwestern University, 2145 Sheridan Road, Evanston, IL, United States, University of Arizona, 1630 E University Blvd, Tucson, AZ, United States; Alfeld M., Delft University of Technology, Delft, 2628 CN, Netherlands; Tumblin J., Northwestern University, 2145 Sheridan Road, Evanston, IL, United States; Katsaggelos A., Northwestern University, 2145 Sheridan Road, Evanston, IL, United States; Walton M., Northwestern University, 2145 Sheridan Road, Evanston, IL, United States, M+, 38 Museum Drive, West Kowloon Cultural District, Hong Kong, Hong Kong","","Automation; Deep learning; Fluorescence spectroscopy; Learning systems; Mapping; Automatic identification; Cultural heritages; Elemental mapping; Pigment identification; Raster scans; Scientific fields; Spatial analysis; Spectra's; Spectroscopy data; X ray fluorescence spectroscopy; Pixels","Department of Materials Science and Engineering; Emeline Pouyet and Gianluca Pastorelli; Office of the Vice President for Research; Andrew W. Mellon Foundation, AWMF; Northwestern University, NU; McCormick School of Engineering, Northwestern University; Materials Research Science and Engineering Center, Northwestern University, MRSEC","","","","",""
"Horgan D.; Fernández E.; Kitching K.","Horgan, Deirdre (53363750300); Fernández, Eluska (57189598464); Kitching, Karl (26326795700)","53363750300; 57189598464; 26326795700","Walking and talking with girls in their urban environments: A methodological meandering","2023","Irish Journal of Sociology","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127328393&doi=10.1177%2f07916035221088408&partnerID=40&md5=f8b5328ff10e6861ecf68083280f9503","School of Applied Social Studies, University College Cork, Ireland; School of Education, University of Birmingham, United Kingdom","Horgan D., School of Applied Social Studies, University College Cork, Ireland; Fernández E., School of Applied Social Studies, University College Cork, Ireland; Kitching K., School of Education, University of Birmingham, United Kingdom","girls; Methods; participatory photo mapping; walking interviews; wellbeing","","","","","","",""
"Sung M.; Ki J.","Sung, Minki (57222731844); Ki, Junghoon (42961611300)","57222731844; 42961611300","Influence of educational and cultural facilities on apartment prices by size in Seoul: do residents’ preferred facilities influence the housing market?","2023","Housing Studies","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103902032&doi=10.1080%2f02673037.2021.1908962&partnerID=40&md5=b415954f71f4e23c935e67bab64a3539","Department of Archaeology, Durham University, Durham, United Kingdom; Department of Public Administration, Myongji University, Seoul, South Korea","Sung M., Department of Archaeology, Durham University, Durham, United Kingdom; Ki J., Department of Public Administration, Myongji University, Seoul, South Korea","Apartment price by size; cultural facilities; educational facilities; resident demographics; spatial regression model","Seoul [Seoul (ADS)]; Seoul [South Korea]; South Korea; culture; education; housing market; housing policy; preference behavior; price dynamics; resident population; spatial analysis","Myongji University; National Research Foundation of Korea, NRF, (2017R1D1A1B03032415)","","","","",""
"Geerts E.","Geerts, Evelien (55839495200)","55839495200","Navigating (Post-)Anthropocenic Times of Crisis: A Critical Cartography of Hope","2022","CounterText","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152284072&doi=10.3366%2fcount.2022.0281&partnerID=40&md5=938bdbba9509755ff6ffe5cb78df46d3","University of Birmingham, United Kingdom","Geerts E., University of Birmingham, United Kingdom","(post-)Anthropocene; crisis times; Critical (new) materialisms; Critical cartography; critical posthumanist theory; hope; nostalgic humanism; tragic (post-)humanism","","","","","","",""
"Jaenecke S.; Coombe L.; Harrison R.; King L.R.; Robinson P.","Jaenecke, Saskia (58121097800); Coombe, Leanne (25935788900); Harrison, Roger (57203806871); King, Laura Rasar (7403028028); Robinson, Priscilla (7403719604)","58121097800; 25935788900; 57203806871; 7403028028; 7403719604","Education of the public health workforce and the Sustainable Development Goals: An analysis of existing competency sets","2023","Public Health in Practice","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149062903&doi=10.1016%2fj.puhip.2023.100374&partnerID=40&md5=1cb1eb5def219c0f9eee0218c3cad228","Fulda University of Applied Sciences, Fulda, Germany; The University of Queensland, Brisbane, Australia; The University of Manchester, Manchester, United Kingdom; Council on Education for Public Health, Silver Spring, MD, United States; La Trobe University, Melbourne, Australia; World Federation of Public Health Associations, Geneva, Switzerland","Jaenecke S., Fulda University of Applied Sciences, Fulda, Germany; Coombe L., The University of Queensland, Brisbane, Australia, World Federation of Public Health Associations, Geneva, Switzerland; Harrison R., The University of Manchester, Manchester, United Kingdom; King L.R., Council on Education for Public Health, Silver Spring, MD, United States; Robinson P., La Trobe University, Melbourne, Australia, World Federation of Public Health Associations, Geneva, Switzerland","Competencies for public health; Competency frameworks; Mapping; Public health education and training; Sustainable Development Goals (SDGs)","article; education; human; human experiment; human rights; medical society; middle income country; public health; public health service; qualitative research; sustainable development goal; thematic analysis; violence; water insecurity; workforce","","","","","",""
"Wint W.; Jones P.; Kraemer M.; Alexander N.; Schaffner F.","Wint, William (6507333626); Jones, Peter (11540222500); Kraemer, Moritz (56308225600); Alexander, Neil (16743877100); Schaffner, Francis (7005295237)","6507333626; 11540222500; 56308225600; 16743877100; 7005295237","Past, present and future distribution of the yellow fever mosquito Aedes aegypti: The European paradox","2022","Science of the Total Environment","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135403989&doi=10.1016%2fj.scitotenv.2022.157566&partnerID=40&md5=0bedadaf4e618b402274c650ac7c9ad8","ERGO – Environmental Research Group Oxford, c/o Department Zoology, Mansfield Road, Oxford, OX1 3SZ, United Kingdom; Waen Associates, Y Waen, Islaw'r Dref, Dolgellau, LL40 1TS, Gwynedd, United Kingdom; University of Oxford, Department of Zoology, Peter Medawar Building For Pathogen Research, 3 S Parks Rd, Oxford, OX1 3SY, United Kingdom; Francis Schaffner Consultancy, Lörracherstrasse 50, Riehen, 4215, Switzerland; National Centre for Vector Entomology, Institute of Parasitology, Vetsuisse Faculty, University of Zürich, Winterthurerstrasse 266a, Zürich, 8057, Switzerland","Wint W., ERGO – Environmental Research Group Oxford, c/o Department Zoology, Mansfield Road, Oxford, OX1 3SZ, United Kingdom; Jones P., Waen Associates, Y Waen, Islaw'r Dref, Dolgellau, LL40 1TS, Gwynedd, United Kingdom; Kraemer M., University of Oxford, Department of Zoology, Peter Medawar Building For Pathogen Research, 3 S Parks Rd, Oxford, OX1 3SY, United Kingdom; Alexander N., ERGO – Environmental Research Group Oxford, c/o Department Zoology, Mansfield Road, Oxford, OX1 3SZ, United Kingdom; Schaffner F., Francis Schaffner Consultancy, Lörracherstrasse 50, Riehen, 4215, Switzerland, National Centre for Vector Entomology, Institute of Parasitology, Vetsuisse Faculty, University of Zürich, Winterthurerstrasse 266a, Zürich, 8057, Switzerland","Culicidae; Historical distribution; Spatial modelling; Vector-borne diseases; Western Palaearctic region","Aedes; Animals; Chikungunya Fever; Mosquito Vectors; Turkey; Yellow Fever; Zika Virus; Zika Virus Infection; Southern Europe; Climate models; Population distribution; Population dynamics; Population statistics; Viruses; 'current; Aedes aegypti; Culicidae; Demographic data; Historical distribution; North Africa; Southern Europe; Spatial modelling; Vector-borne disease; Western palaearctic region; chikungunya; climate conditions; historical record; mosquito; nineteenth century; pathogen; twentieth century; virus; yellow fever; Aedes aegypti; Article; climate change; geographic distribution; humidity; mosquito; nonhuman; population density; receiver operating characteristic; seasonal variation; spatial analysis; spatial distribution; species distribution; systematic review; vector control; yellow fever; Aedes; animal; chikungunya; mosquito vector; turkey (bird); Zika fever; Zika virus; Vectors","German Federal Ministry for Environment, Nuclear Safety and Nature Protection, (ECDC/2019/020, EFSA SC1); National Centre for Vector Entomology; Bundesamt für Lebensmittelsicherheit und Veterinärwesen, FSVO","","","","",""
